,_id/$oid,reviewerID,asin,reviewerName,helpful/0,reviewText,overall,summary,unixReviewTime,reviewTime,category,class
10,5a1321d5741a2384e802c55b,A2UCUB1VC1SDJK,0110400550,Justine,6,"This case is extremely durabl;e. I've dropped my phone atleast ten times ( I'm clumsy) since I got this case. Still no cracks in the case. My favorite part about this switcheasy case is that the plastic goes over the front of my phone, so no matter how many times it drops face down, the screen is protected from cracking.",5,asdfghjkl;,1342224000,"07 14, 2012",Cell_Phones_and_Accessories,1
11,5a1321d5741a2384e802c55b,A2UCUB1VC1SDJK,0110400550,Justine,6,"This case is extremely durabl;e. I've dropped my phone atleast ten times ( I'm clumsy) since I got this case. Still no cracks in the case. My favorite part about this switcheasy case is that the plastic goes over the front of my phone, so no matter how many times it drops face down, the screen is protected from cracking.",5,asdfghjkl;,1342224000,"07 14, 2012",Cell_Phones_and_Accessories,1
12,5a1321d5741a2384e802c558,A1KO9L34Z7548N,0110400550,clevebrowns626,0,"The case is good, but the two pieces do not fit all the way together.  It is slightly off and no matter how much I tried(even shaving the side a little) it wouldn't slide into each other.  The gap is very, very little and you can barley notice it.  The bottom of the case has never slid off, so I will deal with it for the wonderful price!",3,OK for the price,1355961600,"12 20, 2012",Cell_Phones_and_Accessories,0
13,5a1321d5741a2384e802c558,A1KO9L34Z7548N,0110400550,clevebrowns626,1,"The case is good, but the two pieces do not fit all the way together.  It is slightly off and no matter how much I tried(even shaving the side a little) it wouldn't slide into each other.  The gap is very, very little and you can barley notice it.  The bottom of the case has never slid off, so I will deal with it for the wonderful price!",3,OK for the price,1355961600,"12 20, 2012",Cell_Phones_and_Accessories,0
14,5a1321d5741a2384e802c551,A1EWN6KZ4HMLT7,011040047X,S. Prescott,2,"The case pictured is a soft violet color, but the case cover I received was a dark purple. While I'm sure the quality of the product is fine, the color is very different.",1,Wrong color,1344902400,"08 14, 2012",Cell_Phones_and_Accessories,0
15,5a1321d5741a2384e802c551,A1EWN6KZ4HMLT7,011040047X,S. Prescott,2,"The case pictured is a soft violet color, but the case cover I received was a dark purple. While I'm sure the quality of the product is fine, the color is very different.",1,Wrong color,1344902400,"08 14, 2012",Cell_Phones_and_Accessories,0
16,5a1321d5741a2384e802c55c,A1LNL9KCAUBIT,0110400550,Karla,1,"I ordered this as a birthday present for my sister. It arrived quickly, but I was very disappointed. The item was loose, the cover slipped off whenever I tried to lock my phone, the pieces didn't even fit together, the color doesn't match the picture. This is one of the worst items I've ever bought. Terrible item. I see no reason for the sale of this, this item is completely USELESS.",1,Doesn't Work at All!!,1371254400,"06 15, 2013",Cell_Phones_and_Accessories,0
17,5a1321d5741a2384e802c55c,A1LNL9KCAUBIT,0110400550,Karla,2,"I ordered this as a birthday present for my sister. It arrived quickly, but I was very disappointed. The item was loose, the cover slipped off whenever I tried to lock my phone, the pieces didn't even fit together, the color doesn't match the picture. This is one of the worst items I've ever bought. Terrible item. I see no reason for the sale of this, this item is completely USELESS.",1,Doesn't Work at All!!,1371254400,"06 15, 2013",Cell_Phones_and_Accessories,0
18,5a1321d5741a2384e802c55e,A2WDCRQNARX6MG,0110400550,Kimberley,0,"I like the case for its colors, but the lower part where it should snap onto the upper part, comes off easily.",3,doenst fit good,1390003200,"01 18, 2014",Cell_Phones_and_Accessories,0
19,5a1321d5741a2384e802c55e,A2WDCRQNARX6MG,0110400550,Kimberley,0,"I like the case for its colors, but the lower part where it should snap onto the upper part, comes off easily.",3,doenst fit good,1390003200,"01 18, 2014",Cell_Phones_and_Accessories,0
20,5a1321d5741a2384e802c55f,A2HL78OBL9UYRE,0110400550,Kstyle,0,"As excited as I was to purchase this item, the day that it arrived had me on cloud 9. No more worrying about potentially dropping my phone and breaking it. However sadly this case was not worth the money invested. The top piece did not fit with the bottom piece so one sad day at Disneyland,upon retrieving my phone, the top piece slid right off, remaining in my hands while my iPhone hit the asphalt, cracking right down the middle. Clearly purchasing this case was a HUGE mistake.",1,POS,1352678400,"11 12, 2012",Cell_Phones_and_Accessories,0
21,5a1321d5741a2384e802c55f,A2HL78OBL9UYRE,0110400550,Kstyle,2,"As excited as I was to purchase this item, the day that it arrived had me on cloud 9. No more worrying about potentially dropping my phone and breaking it. However sadly this case was not worth the money invested. The top piece did not fit with the bottom piece so one sad day at Disneyland,upon retrieving my phone, the top piece slid right off, remaining in my hands while my iPhone hit the asphalt, cracking right down the middle. Clearly purchasing this case was a HUGE mistake.",1,POS,1352678400,"11 12, 2012",Cell_Phones_and_Accessories,0
22,5a1321d5741a2384e802c560,A14C9GGECI06HU,0110400550,Lanie,5,"I got the case very quick and way before the expected date! It came perfect and is really easy to put together. Super cute!Also, I have dropped my phone many times in the case since its been bought on concrete and asphalt and my phone has not one scratch and crack. Way better than an otterbox",5,Amazing!,1345334400,"08 19, 2012",Cell_Phones_and_Accessories,1
23,5a1321d5741a2384e802c560,A14C9GGECI06HU,0110400550,Lanie,5,"I got the case very quick and way before the expected date! It came perfect and is really easy to put together. Super cute!Also, I have dropped my phone many times in the case since its been bought on concrete and asphalt and my phone has not one scratch and crack. Way better than an otterbox",5,Amazing!,1345334400,"08 19, 2012",Cell_Phones_and_Accessories,1
24,5a1321d5741a2384e802c555,ANG01NK4RXCI9,0110400550,Charles Kodi Bomberry,1,"this is a cute case, I bought it for my wife but it was really hard to take off considering it was way too tight for the phone. When I put it on for her, it caused the screen protector to bubble up. I thought I was gonna end up breaking it when trying to remove it. She liked the look of it but that's about it.",2,meh,1389139200,"01 8, 2014",Cell_Phones_and_Accessories,0
25,5a1321d5741a2384e802c555,ANG01NK4RXCI9,0110400550,Charles Kodi Bomberry,1,"this is a cute case, I bought it for my wife but it was really hard to take off considering it was way too tight for the phone. When I put it on for her, it caused the screen protector to bubble up. I thought I was gonna end up breaking it when trying to remove it. She liked the look of it but that's about it.",2,meh,1389139200,"01 8, 2014",Cell_Phones_and_Accessories,0
26,5a1321d5741a2384e802c55d,A31IRT3Q3VZCBN,0110400550,Kiki,4,"I ordered this and received it within two weeks. The bottom piece slides into the top very snugly, and the whole case does not come apart. It's a great phone case and I would definitely buy it again.",5,Great case,1353196800,"11 18, 2012",Cell_Phones_and_Accessories,1
27,5a1321d5741a2384e802c55d,A31IRT3Q3VZCBN,0110400550,Kiki,4,"I ordered this and received it within two weeks. The bottom piece slides into the top very snugly, and the whole case does not come apart. It's a great phone case and I would definitely buy it again.",5,Great case,1353196800,"11 18, 2012",Cell_Phones_and_Accessories,1
28,5a1321d5741a2384e802c556,AL7D46UHDVZVC,0110400550,Claire,0,it came in ok but there was a crack on the left side. also it slides apart really easily but it's fine.,3,alright,1387929600,"12 25, 2013",Cell_Phones_and_Accessories,0
29,5a1321d5741a2384e802c556,AL7D46UHDVZVC,0110400550,Claire,0,it came in ok but there was a crack on the left side. also it slides apart really easily but it's fine.,3,alright,1387929600,"12 25, 2013",Cell_Phones_and_Accessories,0
30,5a1321d5741a2384e802c554,A292527VPX98P8,0110400550,Cebell,0,It may look cute. This case started off pretty good the first couple of weeks. Then it started to slide off. It slid off one day I was in a parking lot phone fell face down and my glass shattered. TERRIBLE CASE!!!!!,1,Do NOT GET IT!!,1353888000,"11 26, 2012",Cell_Phones_and_Accessories,0
31,5a1321d5741a2384e802c554,A292527VPX98P8,0110400550,Cebell,1,It may look cute. This case started off pretty good the first couple of weeks. Then it started to slide off. It slid off one day I was in a parking lot phone fell face down and my glass shattered. TERRIBLE CASE!!!!!,1,Do NOT GET IT!!,1353888000,"11 26, 2012",Cell_Phones_and_Accessories,0
32,5a1321d5741a2384e802c561,A1MGIQYOKFU7OF,0110400550,Leann Li,0,slips off almost broke my phone instead... but the quality was nice the details,2,but the quality was nice the,1404604800,"07 6, 2014",Cell_Phones_and_Accessories,0
33,5a1321d5741a2384e802c561,A1MGIQYOKFU7OF,0110400550,Leann Li,0,slips off almost broke my phone instead... but the quality was nice the details,2,but the quality was nice the,1404604800,"07 6, 2014",Cell_Phones_and_Accessories,0
34,5a1321d5741a2384e802c562,A2OLC6TDGS0WT7,0110400550,Maddy927,1,"I was expecting a cute case that fit my Verizon iPhone 4S well. I got it in the mail and I was so excited to try it on my phone. It barely fits. The button holes don't fit the buttons. (Too high up) Another thing is the melt thingies near the fromt canera and stuff kept peeling my screen protector off whenever i tried to put it on. i fell head over heels with this case and I'm so upset it doesn't fit right.. If you have the Verizon iPhone 4S, sadly, beware..",2,Upset.,1374710400,"07 25, 2013",Cell_Phones_and_Accessories,0
35,5a1321d5741a2384e802c562,A2OLC6TDGS0WT7,0110400550,Maddy927,2,"I was expecting a cute case that fit my Verizon iPhone 4S well. I got it in the mail and I was so excited to try it on my phone. It barely fits. The button holes don't fit the buttons. (Too high up) Another thing is the melt thingies near the fromt canera and stuff kept peeling my screen protector off whenever i tried to put it on. i fell head over heels with this case and I'm so upset it doesn't fit right.. If you have the Verizon iPhone 4S, sadly, beware..",2,Upset.,1374710400,"07 25, 2013",Cell_Phones_and_Accessories,0
36,5a1321d5741a2384e802c564,ALY3HL0U9AV00,0110400550,Meli,1,this case is very pretty and cool but its not protective with this case on i cracked my phone 3 times.,2,i didn't really like it.,1373846400,"07 15, 2013",Cell_Phones_and_Accessories,0
37,5a1321d5741a2384e802c564,ALY3HL0U9AV00,0110400550,Meli,2,this case is very pretty and cool but its not protective with this case on i cracked my phone 3 times.,2,i didn't really like it.,1373846400,"07 15, 2013",Cell_Phones_and_Accessories,0
38,5a1321d5741a2384e802c563,A3KN7WFLV7LKBM,0110400550,Heather Evans,1,"The case is super cute, durable, and a conversation starter. The delivery was before the estimated date, and the case it's self is well made.Since it's 2 separate pieces, it isn't perfectly snug, so i slip a little piece of paper on my phone before I put on the dripping part. If it arrives and the dripping part slides, just try using that method.The colors are exactly as pictures and it's really neat since the white part is a different texture than the pink part.Overall, 4/5 stars.",4,"Awesome iPhone case, not perfectly snug though.",1384646400,"11 17, 2013",Cell_Phones_and_Accessories,1
39,5a1321d5741a2384e802c563,A3KN7WFLV7LKBM,0110400550,Heather Evans,1,"The case is super cute, durable, and a conversation starter. The delivery was before the estimated date, and the case it's self is well made.Since it's 2 separate pieces, it isn't perfectly snug, so i slip a little piece of paper on my phone before I put on the dripping part. If it arrives and the dripping part slides, just try using that method.The colors are exactly as pictures and it's really neat since the white part is a different texture than the pink part.Overall, 4/5 stars.",4,"Awesome iPhone case, not perfectly snug though.",1384646400,"11 17, 2013",Cell_Phones_and_Accessories,1
40,5a1321d5741a2384e802c565,A2BAJ8JVSUN8J3,0110400550,Monique R Peterson,1,Cheap plastic doesn't stay together over the phone. It is not durable.  Waste of money. Will not use the item,1,Cheap,1379721600,"09 21, 2013",Cell_Phones_and_Accessories,0
41,5a1321d5741a2384e802c565,A2BAJ8JVSUN8J3,0110400550,Monique R Peterson,1,Cheap plastic doesn't stay together over the phone. It is not durable.  Waste of money. Will not use the item,1,Cheap,1379721600,"09 21, 2013",Cell_Phones_and_Accessories,0
42,5a1321d5741a2384e802c567,AZUV5UWSIR9JK,0110400550,Raji Gill,0,"It took over a month and a half for this product to be delivered to me. Not only that, but once I received it in the mail, it was cracked! This plastic case is not durable and the melting indent is quite annoying after some time. It's sorta hard to grip too. Would not recommend.",1,"Terrible, but that's what you get for paying so little!",1389744000,"01 15, 2014",Cell_Phones_and_Accessories,0
43,5a1321d5741a2384e802c567,AZUV5UWSIR9JK,0110400550,Raji Gill,0,"It took over a month and a half for this product to be delivered to me. Not only that, but once I received it in the mail, it was cracked! This plastic case is not durable and the melting indent is quite annoying after some time. It's sorta hard to grip too. Would not recommend.",1,"Terrible, but that's what you get for paying so little!",1389744000,"01 15, 2014",Cell_Phones_and_Accessories,0
44,5a1321d5741a2384e802c569,A3T8C0H9LOB1FS,0110400550,ross060,0,"Although I received this case very quickly, mine seems to be a dud. The top and bottom parts slide together, but do not lock in place. I tried using it anyway, and my phone slid out of my case and shot onto the street. It's such a cute case, and I'm gotten tons of compliments, but I definitely got what I paid for.",3,Disappointed,1351987200,"11 4, 2012",Cell_Phones_and_Accessories,0
45,5a1321d5741a2384e802c569,A3T8C0H9LOB1FS,0110400550,ross060,2,"Although I received this case very quickly, mine seems to be a dud. The top and bottom parts slide together, but do not lock in place. I tried using it anyway, and my phone slid out of my case and shot onto the street. It's such a cute case, and I'm gotten tons of compliments, but I definitely got what I paid for.",3,Disappointed,1351987200,"11 4, 2012",Cell_Phones_and_Accessories,0
46,5a1321d5741a2384e802c56a,A1E2ZKX2G6FYG5,0110400550,Sam,0,This is a terrible product. I couldn't even use it. The pieces don't fit together it just falls right off the phone. It's terrible.,1,Awful,1380931200,"10 5, 2013",Cell_Phones_and_Accessories,0
47,5a1321d5741a2384e802c56a,A1E2ZKX2G6FYG5,0110400550,Sam,0,This is a terrible product. I couldn't even use it. The pieces don't fit together it just falls right off the phone. It's terrible.,1,Awful,1380931200,"10 5, 2013",Cell_Phones_and_Accessories,0
48,5a1321d5741a2384e802c56b,ALX0R9TJFYPRK,0110400550,sav milk schenk,0,It cracks easy but its a nice case and i got a lot of complements on it.  Its cheap but i guess its worth it.,4,Its not the best.,1371168000,"06 14, 2013",Cell_Phones_and_Accessories,1
49,5a1321d5741a2384e802c56b,ALX0R9TJFYPRK,0110400550,sav milk schenk,0,It cracks easy but its a nice case and i got a lot of complements on it.  Its cheap but i guess its worth it.,4,Its not the best.,1371168000,"06 14, 2013",Cell_Phones_and_Accessories,1
50,5a1321d5741a2384e802c56d,A317ECX0LOYQ9U,0110400550,Spleen,0,I love this case.  I've had it for a few years now and I've never had any problems with it.  It snaps on just right!,5,Great case for a great price,1385769600,"11 30, 2013",Cell_Phones_and_Accessories,1
51,5a1321d5741a2384e802c56d,A317ECX0LOYQ9U,0110400550,Spleen,0,I love this case.  I've had it for a few years now and I've never had any problems with it.  It snaps on just right!,5,Great case for a great price,1385769600,"11 30, 2013",Cell_Phones_and_Accessories,1
52,5a1321d5741a2384e802c56e,A34HT6P4IHHQKV,0110400550,Taylor Dotson,1,amazing exactly what i wanted and more. Came with a lot of extra things i didnt know were coming. Very impressed,5,great,1362614400,"03 7, 2013",Cell_Phones_and_Accessories,1
53,5a1321d5741a2384e802c56e,A34HT6P4IHHQKV,0110400550,Taylor Dotson,1,amazing exactly what i wanted and more. Came with a lot of extra things i didnt know were coming. Very impressed,5,great,1362614400,"03 7, 2013",Cell_Phones_and_Accessories,1
54,5a1321d5741a2384e802c56f,A3CL4HJA0QCLWM,0195866479,CH,1,"It is cute and light weight.  The big drawback is it blocks WIFI signals at my work.  The WIFI signal is also bad if I am in the back yard of my house.  The router is in the living room.  I used up more 3G and learned that the WIFI signals improved one bar or so after remove my case.  I don't know what blocks it, but I tested many times and convinced that it does block WIFI signals.",1,Blocked Wifi signals,1337299200,"05 18, 2012",Cell_Phones_and_Accessories,0
55,5a1321d5741a2384e802c56f,A3CL4HJA0QCLWM,0195866479,CH,1,"It is cute and light weight.  The big drawback is it blocks WIFI signals at my work.  The WIFI signal is also bad if I am in the back yard of my house.  The router is in the living room.  I used up more 3G and learned that the WIFI signals improved one bar or so after remove my case.  I don't know what blocks it, but I tested many times and convinced that it does block WIFI signals.",1,Blocked Wifi signals,1337299200,"05 18, 2012",Cell_Phones_and_Accessories,0
56,5a1321d5741a2384e802c570,A3V5NLYRQG9B9B,0110400550,toad,0,"I really loved the color combination and how the design showed up on the front as well. I bought this for my iPhone 4s, and unfortunately, it doesn't stay on. It comes in two pieces, one white piece that snugly fits on the bottom, and the pink drip portion that slides over the white piece. It's the pink piece that makes this unfortunate. It doesn't click with the white piece at all, and it easily slides off. I wanted so much to keep this case on, but I also didn't wanna risk my phone having a giant crack on the screen due to a case that doesn't stay on. For the price, it is neat, but I really doubt I'm going to keep it on my phone. What a bummer.",2,it's a cool design but...,1376784000,"08 18, 2013",Cell_Phones_and_Accessories,0
57,5a1321d5741a2384e802c570,A3V5NLYRQG9B9B,0110400550,toad,0,"I really loved the color combination and how the design showed up on the front as well. I bought this for my iPhone 4s, and unfortunately, it doesn't stay on. It comes in two pieces, one white piece that snugly fits on the bottom, and the pink drip portion that slides over the white piece. It's the pink piece that makes this unfortunate. It doesn't click with the white piece at all, and it easily slides off. I wanted so much to keep this case on, but I also didn't wanna risk my phone having a giant crack on the screen due to a case that doesn't stay on. For the price, it is neat, but I really doubt I'm going to keep it on my phone. What a bummer.",2,it's a cool design but...,1376784000,"08 18, 2013",Cell_Phones_and_Accessories,0
58,5a1321d5741a2384e802c571,AGY5ITD822BBI,0195866479,Kristy H,0,"I got this case for my new 4s ,( I have the white one )& love it , its very cute . It snaps on easily and comes off better than some of my other cases. I like how the top & bottom is completely open so my charger & headphones fit perfectly .  The only down side is that it dose not provide any protection other than from scratches so if you drop your phone a lot than I wouldn't recommend this case but if you don't than I think it's a great value.",4,Very cute,1325289600,"12 31, 2011",Cell_Phones_and_Accessories,1
59,5a1321d5741a2384e802c571,AGY5ITD822BBI,0195866479,Kristy H,0,"I got this case for my new 4s ,( I have the white one )& love it , its very cute . It snaps on easily and comes off better than some of my other cases. I like how the top & bottom is completely open so my charger & headphones fit perfectly .  The only down side is that it dose not provide any protection other than from scratches so if you drop your phone a lot than I wouldn't recommend this case but if you don't than I think it's a great value.",4,Very cute,1325289600,"12 31, 2011",Cell_Phones_and_Accessories,1
60,5a1321d5741a2384e802c573,A18HQT08QAFII0,0214614700,Trip,0,"can not describe how much I loved and enoyed this case, its not so much great for protecting the phone but for minimal coverage...but loved the look and feel of the case its self....",5,cool breeze beach cover,1365206400,"04 6, 2013",Cell_Phones_and_Accessories,1
61,5a1321d5741a2384e802c573,A18HQT08QAFII0,0214614700,Trip,0,"can not describe how much I loved and enoyed this case, its not so much great for protecting the phone but for minimal coverage...but loved the look and feel of the case its self....",5,cool breeze beach cover,1365206400,"04 6, 2013",Cell_Phones_and_Accessories,1
62,5a1321d5741a2384e802c575,AYIXXMZX2KAVA,0594033918,Erich Walther,0,"I was sent the wrong product. I did not receive the Nook Color Easel, but a cover for another type of Nook product.",1,Sent wrong product,1385164800,"11 23, 2013",Cell_Phones_and_Accessories,0
63,5a1321d5741a2384e802c575,AYIXXMZX2KAVA,0594033918,Erich Walther,0,"I was sent the wrong product. I did not receive the Nook Color Easel, but a cover for another type of Nook product.",1,Sent wrong product,1385164800,"11 23, 2013",Cell_Phones_and_Accessories,0
64,5a1321d5741a2384e802c576,A19V6LBFV24KG,0594033918,John Pichitino,2,this cover is very well made and also convenient to use.It is durable and protects my Nook from scratches.It is very easy to remove the Nook from the cover.,5,nook cover,1338508800,"06 1, 2012",Cell_Phones_and_Accessories,1
65,5a1321d5741a2384e802c576,A19V6LBFV24KG,0594033918,John Pichitino,2,this cover is very well made and also convenient to use.It is durable and protects my Nook from scratches.It is very easy to remove the Nook from the cover.,5,nook cover,1338508800,"06 1, 2012",Cell_Phones_and_Accessories,1
66,5a1321d5741a2384e802c577,A3RD0UFI6A339X,0594033918,KAN and SCT,3,I definitely like this product a lot. I've had the regular Nook cover where it would flip open as a book and didn't like it as much. The easel lets me read pretty much hands free.,5,Easy to use,1364688000,"03 31, 2013",Cell_Phones_and_Accessories,1
67,5a1321d5741a2384e802c577,A3RD0UFI6A339X,0594033918,KAN and SCT,3,I definitely like this product a lot. I've had the regular Nook cover where it would flip open as a book and didn't like it as much. The easel lets me read pretty much hands free.,5,Easy to use,1364688000,"03 31, 2013",Cell_Phones_and_Accessories,1
68,5a1321d5741a2384e802c579,A3R3G4JNL547FO,0594033918,pbrown2624,1,"After searching many places for many cases/covers, I have finally found THE case! It fits my Nook nicely, easy to use, and is very neat looking on my nook. I highly recommend this case. This case will allow your nook to stand on its own while you read hands free. Very sturdy and of good quality.",5,Makes For A Happy Nook,1356393600,"12 25, 2012",Cell_Phones_and_Accessories,1
69,5a1321d5741a2384e802c579,A3R3G4JNL547FO,0594033918,pbrown2624,1,"After searching many places for many cases/covers, I have finally found THE case! It fits my Nook nicely, easy to use, and is very neat looking on my nook. I highly recommend this case. This case will allow your nook to stand on its own while you read hands free. Very sturdy and of good quality.",5,Makes For A Happy Nook,1356393600,"12 25, 2012",Cell_Phones_and_Accessories,1
70,5a1321d5741a2384e802c578,AG1KVQS97GE7U,0594033918,MARCO RODRIGUEZ V,0,I've received the one that opens toward the side (like a book) instead of this one.  I asked for replacement and they answered that they didn't have that on stock and that they've sent something that I might like.  Anyway  I've received the refund with a note to keep the one they sent me.,3,They sent a different product,1378166400,"09 3, 2013",Cell_Phones_and_Accessories,0
71,5a1321d5741a2384e802c578,AG1KVQS97GE7U,0594033918,MARCO RODRIGUEZ V,0,I've received the one that opens toward the side (like a book) instead of this one.  I asked for replacement and they answered that they didn't have that on stock and that they've sent something that I might like.  Anyway  I've received the refund with a note to keep the one they sent me.,3,They sent a different product,1378166400,"09 3, 2013",Cell_Phones_and_Accessories,0
72,5a1321d5741a2384e802c574,A1DQN7UN5V8HV,0214714705,Eleni Flannigan,0,Great cover and design fits awesome doesn`t provide a whole lotof protection but a good case for any sea lover,5,recomemded,1363478400,"03 17, 2013",Cell_Phones_and_Accessories,1
73,5a1321d5741a2384e802c574,A1DQN7UN5V8HV,0214714705,Eleni Flannigan,0,Great cover and design fits awesome doesn`t provide a whole lotof protection but a good case for any sea lover,5,recomemded,1363478400,"03 17, 2013",Cell_Phones_and_Accessories,1
74,5a1321d5741a2384e802c57b,A1EUWZUJHGDGKZ,0195866479,jds,1,"The case in the photo looks great and very cute; however, when it arrives, it comes scratched up, flimsy and not worth $8 at all. Needless to say, I returned the product.",1,Bad quality with scratches,1326412800,"01 13, 2012",Cell_Phones_and_Accessories,0
75,5a1321d5741a2384e802c57b,A1EUWZUJHGDGKZ,0195866479,jds,1,"The case in the photo looks great and very cute; however, when it arrives, it comes scratched up, flimsy and not worth $8 at all. Needless to say, I returned the product.",1,Bad quality with scratches,1326412800,"01 13, 2012",Cell_Phones_and_Accessories,0
76,5a1321d5741a2384e802c57a,A35HYULUHQFP02,0594033918,Philip D. McGaughey,0,We purchased the Nook Color because it has internet capability.  It is much lighter than carrying the laptop and easy to use.  We have had some problems with connecting to the internet at times.,5,Great for traveling.,1362182400,"03 2, 2013",Cell_Phones_and_Accessories,1
77,5a1321d5741a2384e802c57a,A35HYULUHQFP02,0594033918,Philip D. McGaughey,1,We purchased the Nook Color because it has internet capability.  It is much lighter than carrying the laptop and easy to use.  We have had some problems with connecting to the internet at times.,5,Great for traveling.,1362182400,"03 2, 2013",Cell_Phones_and_Accessories,1
78,5a1321d5741a2384e802c57d,A3EBVWIBOON4CJ,0641554214,Luva,0,I ordered this for my little sister's phone and she loves it. The color is nice and beautiful. Installation was easy.  Delivery was quick and it was package nicley. Will definately order from this seller again,5,Beautiful,1333670400,"04 6, 2012",Cell_Phones_and_Accessories,1
79,5a1321d5741a2384e802c57d,A3EBVWIBOON4CJ,0641554214,Luva,0,I ordered this for my little sister's phone and she loves it. The color is nice and beautiful. Installation was easy.  Delivery was quick and it was package nicley. Will definately order from this seller again,5,Beautiful,1333670400,"04 6, 2012",Cell_Phones_and_Accessories,1
80,5a1321d5741a2384e802c57e,A1I1PD8KQL8591,0641554214,"Jmikeou ""JE""",0,"Well the product was good other than the screen wasnt attatched to the rest of the body and my glue kept coming off, but they sent me more.",4,Ok,1268697600,"03 16, 2010",Cell_Phones_and_Accessories,1
81,5a1321d5741a2384e802c57e,A1I1PD8KQL8591,0641554214,"Jmikeou ""JE""",0,"Well the product was good other than the screen wasnt attatched to the rest of the body and my glue kept coming off, but they sent me more.",4,Ok,1268697600,"03 16, 2010",Cell_Phones_and_Accessories,1
82,5a1321d5741a2384e802c57f,AGF2OE82UUDSO,0641554214,nloft,0,"My phone recently suffered quite a bit of bumps and falls, which resulted in scratches. I found this housing case to fit my Blackberry, and it is just like new. I have a beautiful phone again. The only thing that I would suggest for improving an already great productis; Please put instructions on how to install the new housing case in the package. We had to google how to, and then review a video on YouTube on ""How To.""",5,Shiny and New,1290470400,"11 23, 2010",Cell_Phones_and_Accessories,1
83,5a1321d5741a2384e802c57f,AGF2OE82UUDSO,0641554214,nloft,0,"My phone recently suffered quite a bit of bumps and falls, which resulted in scratches. I found this housing case to fit my Blackberry, and it is just like new. I have a beautiful phone again. The only thing that I would suggest for improving an already great productis; Please put instructions on how to install the new housing case in the package. We had to google how to, and then review a video on YouTube on ""How To.""",5,Shiny and New,1290470400,"11 23, 2010",Cell_Phones_and_Accessories,1
84,5a1321d5741a2384e802c57c,A2M9KMEYQNR7Y2,0641554214,"Arturo Hinojosa ""batman""",1,All I have to say  is my Blackberry is very happy with its new body.  The vendor was very prompt.  Thank you .,5,Happy Blackberry,1266796800,"02 22, 2010",Cell_Phones_and_Accessories,1
85,5a1321d5741a2384e802c57c,A2M9KMEYQNR7Y2,0641554214,"Arturo Hinojosa ""batman""",1,All I have to say  is my Blackberry is very happy with its new body.  The vendor was very prompt.  Thank you .,5,Happy Blackberry,1266796800,"02 22, 2010",Cell_Phones_and_Accessories,1
